TokenBody,ExampleToken,FieldKey,PlainEnglishMeaning,Confidence,ContextTags,Source,SourcePath,Notes,ExampleAbilityIds
VAL0_COM_0_VAL0,COM_1_VAL0_COM_0_VAL0,Value[0],"Read component slot 1 (component id 3053), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context",Confirmed,Damage Heal Snare,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 47 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal, Snare; example ability ids 10856, 10857, 10858, 10859, 10860, 10861, 10862, 10863, 10864, 10865, 1356, 1357, 1361, 1364, 1392, 1395, 1409, 1432, 1479, 1666, 1744, 1774, 1785, 1915; example text: ""Any time you are hit, there is a 25% chance that your movement speed will be increased by {COM_1_VAL0_COM_0_VAL0}% for {COM_1_VAL0_COM_0_DURA_SECONDS}."".",758 760 776 1356 1357 1361 1364 1392 1395 1409 1432 1479 1666 1744 1774 1785 1915 8011 8043 8125 8185 8237 8250 8253
VAL0_COM_0_VAL0_ACTIONPOINTS,COM_1_VAL0_COM_0_VAL0_ACTIONPOINTS,Value[0],"Read component slot 1 (component id 3560), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_ACTIONPOINTS` (read component slot 0, then read the selected component's Value[0] field and render it as action points in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 3 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1770, 1868, 8016; example text: ""You chop deeply into your enemy, dealing {COM_0_VAL0_DAMAGE}. Your love of battle fills you with energy, restoring {COM_1_VAL0_COM_0_VAL0_ACTIONPOINTS}.<BR><BR>If you are Furious, gains a 75% damage bonus instead of t..."".",1770 1868 8016
VAL0_COM_0_VAL0_COM_0_DURA_SECONDS,COM_0_VAL0_COM_0_VAL0_COM_0_DURA_SECONDS,Value[0],"Read component slot 0 (component id 3710), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_DURA_SECONDS` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_DURA_SECONDS` (read component slot 0, then read the selected component's Duration field and format it as seconds) in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1436; example text: ""You swipe at the enemies in front of you, dealing {COM_0_VAL0_COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE} over {COM_0_VAL0_COM_0_VAL0_COM_0_DURA_SECONDS} to enemies within {COM_0_VAL0_COM_0_VAL0_COM_0_RADI_FEET}."".",1436
VAL0_COM_0_VAL0_COM_0_RADI_FEET,COM_0_VAL0_COM_0_VAL0_COM_0_RADI_FEET,Value[0],"Read component slot 0 (component id 3710), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_RADI_FEET` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_RADI_FEET` (read component slot 0, then read the selected component's Radius field and format it as feet) in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1436; example text: ""You swipe at the enemies in front of you, dealing {COM_0_VAL0_COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE} over {COM_0_VAL0_COM_0_VAL0_COM_0_DURA_SECONDS} to enemies within {COM_0_VAL0_COM_0_VAL0_COM_0_RADI_FEET}."".",1436
VAL0_COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE,COM_0_VAL0_COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE,Value[0],"Read component slot 0 (component id 3710), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as damage over time in this text context) in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1436; example text: ""You swipe at the enemies in front of you, dealing {COM_0_VAL0_COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE} over {COM_0_VAL0_COM_0_VAL0_COM_0_DURA_SECONDS} to enemies within {COM_0_VAL0_COM_0_VAL0_COM_0_RADI_FEET}."".",1436
VAL0_COM_0_VAL0_CORPOREALDAMAGE,COM_2_VAL0_COM_0_VAL0_CORPOREALDAMAGE,Value[0],"Read component slot 2 (component id 19207), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_CORPOREALDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as corporeal damage in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1543; example text: ""You deploy a shock rod at your feet which will remain for up to {COM_4_DURA_SECONDS} and periodically blast out with waves of power, dealing {COM_2_VAL0_COM_0_VAL0_CORPOREALDAMAGE} every {COM_0_FREQ_SECONDS} to all en..."".",1543
VAL0_COM_0_VAL0_DAMAGE,COM_1_VAL0_COM_0_VAL0_DAMAGE,Value[0],"Read component slot 1 (component id 3440), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as damage in this text context) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 9 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1359, 1382, 1435, 1447, 1747, 1771, 692, 8015, 8272; example text: ""Deals {COM_1_VAL0_COM_0_VAL0_DAMAGE} to all enemies within {COM_0_RADI_FEET}, and heals group members within 100 feet for the full amount of the damage dealt."".",692 1359 1382 1435 1447 1747 1771 8015 8272
VAL0_COM_0_VAL0_HEALTH,COM_2_VAL0_COM_0_VAL0_HEALTH,Value[0],"Read component slot 2 (component id 1388), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_HEALTH` (read component slot 0, then read the selected component's Value[0] field and render it as health in this text context) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 2 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1381, 1544; example text: ""A decisive final strike that deals {COM_0_VAL0_DAMAGE} to your enemy.  If the target dies immediately after being hit by this attack, then you will regain {COM_2_VAL0_COM_0_VAL0_HEALTH}, and your Oath Friend will be a..."".",1381 1544
VAL0_COM_0_VAL0_SPIRITDAMAGE,COM_1_VAL0_COM_0_VAL0_SPIRITDAMAGE,Value[0],"Read component slot 1 (component id 8951), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_SPIRITDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as spirit damage in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 5 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 8084, 8089, 8327, 8338, 9271; example text: ""You load your pistol with bullets of purest silver, causing your Executions to deal an additional {COM_1_VAL0_COM_0_VAL0_SPIRITDAMAGE}.  The victim's Initiative will be reduced by {COM_1_VAL0_COM_1_VAL0} for {COM_1_VA..."".",8084 8089 8327 8338 9271
VAL0_COM_0_VAL0_TOD,COM_1_VAL0_COM_0_VAL0_TOD,Value[0],"Read component slot 1 (component id 1148), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD` (read component slot 0, then read the selected component's Value[0] field and render it as an over-time amount in this text context) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 6 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1748, 1856, 526, 8238, 8295, 9548; example text: ""Any time you critically hit an enemy they will begin to bleed, suffering additional {COM_1_VAL0_COM_0_VAL0_TOD} Corporeal damage over {COM_1_VAL0_COM_0_DURA_SECONDS}."".",526 1748 1856 8238 8295 9548
VAL0_COM_0_VAL0_TOD_ACTIONPOINTS,COM_1_VAL0_COM_0_VAL0_TOD_ACTIONPOINTS,Value[0],"Read component slot 1 (component id 3173), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_ACTIONPOINTS` (read component slot 0, then read the selected component's Value[0] field and render it as action points over time in this text context) in this text context",Confirmed,Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 3 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Heal; example ability ids 589, 8020, 8439; example text: ""Any time one of your direct healing effects critically heals an ally, you will regain {COM_1_VAL0_COM_0_VAL0_TOD_ACTIONPOINTS} over {COM_1_VAL0_COM_0_DURA_SECONDS}."".",589 8020 8439
VAL0_COM_0_VAL0_TOD_CORPOREALDAMAGE,COM_2_VAL0_COM_0_VAL0_TOD_CORPOREALDAMAGE,Value[0],"Read component slot 2 (component id 3223), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_CORPOREALDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as corporeal damage over time in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1541; example text: ""You blast your enemy with powerful and unstable phosphorous ammo, dealing {COM_1_VAL0_CORPOREALDAMAGE} to them. The victim and all enemies within {COM_1_RADI_FEET} of them will also suffer {COM_2_VAL0_COM_0_VAL0_TOD_C..."".",1541
VAL0_COM_0_VAL0_TOD_DAMAGE,COM_1_VAL0_COM_0_VAL0_TOD_DAMAGE,Value[0],"Read component slot 1 (component id 12269), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as damage over time in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 9 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1431, 1742, 49, 8009, 8257, 9161, 9172, 9551, 9580; example text: ""Deals {COM_0_VAL0_DAMAGE} to the target, and an additional {COM_1_VAL0_COM_0_VAL0_TOD_DAMAGE} over {COM_1_VAL0_COM_0_DURA_SECONDS}."".",49 1431 1742 8009 8257 9161 9172 9551 9580
VAL0_COM_0_VAL0_TOD_ELEMENTALDAMAGE,COM_2_VAL0_COM_0_VAL0_TOD_ELEMENTALDAMAGE,Value[0],"Read component slot 2 (component id 1966), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_ELEMENTALDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as elemental damage over time in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 3 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1833, 8170, 8188; example text: ""An Ailment which deals {COM_0_VAL0_ELEMENTALDAMAGE} to your target and then explodes, dealing an additional {COM_2_VAL0_COM_0_VAL0_TOD_ELEMENTALDAMAGE} over {COM_2_VAL0_COM_0_DURA_SECONDS} to the target and all other..."".",1833 8170 8188
VAL0_COM_0_VAL0_TOD_HEALTH,COM_1_VAL0_COM_0_VAL0_TOD_HEALTH,Value[0],"Read component slot 1 (component id 1263), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_HEALTH` (read component slot 0, then read the selected component's Value[0] field and render it as health over time in this text context) in this text context",Confirmed,Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 6 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Heal; example ability ids 1898, 1926, 8124, 8332, 8557, 9236; example text: ""Your target regains {COM_0_VAL0_HEALTH} immediately then continues to gain another {COM_1_VAL0_COM_0_VAL0_TOD_HEALTH} over {COM_1_VAL0_COM_0_DURA_SECONDS}."".",1898 1926 8124 8332 8557 9236
VAL0_COM_0_VAL0_TOD_SPIRITDAMAGE,COM_0_VAL0_COM_0_VAL0_TOD_SPIRITDAMAGE,Value[0],"Read component slot 0 (component id 11125), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_SPIRITDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as spirit damage over time in this text context) in this text context",Confirmed,Damage Disarm Immunity Knockdown Silence Stun,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 3 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Disarm, Immunity, Knockdown, Silence, Stun; example ability ids 9028, 9264, 9584; example text: ""You launch two powerful blows dealing a total of {COM_0_VAL0_COM_0_VAL0_TOD_SPIRITDAMAGE} and knocking your opponent down for {COM_1_DURA_SECONDS}. Your group members within 100 feet become Unstoppable for {ABIL_414_C..."".",9028 9264 9584
VAL0_COM_0_VAL1,COM_1_VAL0_COM_0_VAL1,Value[0],"Read component slot 1 (component id 3763), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL1` (read component slot 0, then read the selected component's Value[1] field and insert the raw numeric result into client text) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 22 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1438, 1750, 1789, 8044, 8057, 8091, 8096, 8098, 8120, 8276, 8280, 8347, 8432, 9117, 9128, 9166, 9175, 9293, 9401, 9411, 9588, 9589; example text: ""You deal an exhaustive blow that does {COM_0_VAL0_DAMAGE} and reduces your target's chance to critically hit by {COM_1_VAL0_COM_0_VAL1}% for {COM_1_VAL0_COM_0_DURA_SECONDS}.<BR><BR>If you are Furious, gains a 75% dama..."".",1438 1750 1789 8044 8057 8091 8096 8098 8120 8276 8280 8347 8432 9117 9128 9166 9175 9293 9401 9411 9588 9589
VAL0_COM_0_VAL1_DAMAGE,COM_1_VAL0_COM_0_VAL1_DAMAGE,Value[0],"Read component slot 1 (component id 1192), then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL1_DAMAGE` (read component slot 0, then read the selected component's Value[1] field and render it as damage in this text context) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 5 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1932, 779, 8288, 9439, 9595; example text: ""Any time you are attacked, there is a 25% chance that you will become protected by a magical barrier for up to {COM_1_VAL0_COM_0_DURA_SECONDS}, which will absorb up to {COM_1_VAL0_COM_0_VAL1_DAMAGE}.<BR>This effect wi..."".",779 1932 8288 9439 9595
VAL0_COM_1_DURA_SECONDS,COM_1_VAL0_COM_1_DURA_SECONDS,Value[0],"Read component slot 1 (component id 3706), then read the selected component's Value[0] field and render it as the same presentation as `COM_1_DURA_SECONDS` (read component slot 1, then read the selected component's Duration field and format it as seconds) in this text context",Confirmed,Damage Heal,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 11 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage, Heal; example ability ids 1433, 15524, 1745, 1769, 8007, 8044, 8083, 8084, 8099, 8395, 9403; example text: ""You slash at your opponent's throat, immediately inflicting {COM_0_VAL0_DAMAGE}. The wound continues to bleed for {COM_1_VAL0_COM_1_VAL0_TOD_DAMAGE} for the next {COM_1_VAL0_COM_1_DURA_SECONDS}. This effect can be sta..."".",1433 1745 1769 8007 8044 8083 8084 8099 8395 9403 15524
VAL0_COM_1_RADI_FEET,COM_1_VAL0_COM_1_RADI_FEET,Value[0],"Read component slot 1 (component id 1224), then read the selected component's Value[0] field and render it as the same presentation as `COM_1_RADI_FEET` (read component slot 1, then read the selected component's Radius field and format it as feet) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 3 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1356, 1357, 1465; example text: ""You deal {COM_0_VAL0_DAMAGE} to your target and prepare yourself for their attacks, increasing your armor by {COM_1_VAL0_COM_0_VAL0} for {COM_1_VAL0_COM_0_DURA_SECONDS}.<BR>Your Oath Friend's armor will also be increa..."".",1356 1357 1465
VAL0_COM_1_VAL0,COM_1_VAL0_COM_1_VAL0,Value[0],"Read component slot 1 (component id 1244), then read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0` (read component slot 1, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 11 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 1364, 1433, 1458, 1745, 1769, 8084, 8257, 9324, 9551; example text: ""A brutal attack that deals {COM_0_VAL0_DAMAGE} to your target and inspires you to push the attack, increasing your Strength by {COM_1_VAL0_COM_0_VAL0} for {COM_1_VAL0_COM_0_DURA_SECONDS}. Will also affect your Oath Fr..."".",1364 1433 1458 1745 1769 8084 8257 9324 9551
VAL0_COM_1_VAL0_ACTIONPOINTS,COM_1_VAL0_COM_1_VAL0_ACTIONPOINTS,Value[0],"Read component slot 1 (component id 8959), then read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_ACTIONPOINTS` (read component slot 1, then read the selected component's Value[0] field and render it as action points in this text context) in this text context",Confirmed,Damage,abilitydesc.txt,C:\Users\Admin\Downloads\myps\data\strings\english\abilitydesc.txt,"Observed in 1 extracted string occurrence(s); component field Value[0]; component operation ids 23; context tags Damage; example ability ids 8089; example text: ""You load your pistol with bullets designed to fragment on impact, causing your Executions to deal an additional {COM_1_VAL0_COM_0_VAL0_SPIRITDAMAGE} to the target.  The victim will lose {COM_1_VAL0_COM_1_VAL0_ACTIONPO..."".",8089
