OperationId,OperationName,FieldKey,NonZeroCount,DistinctValueCount,SampleValues,TokenRenderings,SemanticSummary,Confidence,TriageBucket,TriageScore,TriageNotes,ContextTags,Notes
23,APPLY_ABILITY,Value[0],2071,1838,"1, 1005, 10320, 10481, 10482, 10483, 10484, 10485, 10486, 10487, 10488, 10489","VAL0, VAL0_COM_0_DURA_MINUTES, VAL0_COM_0_DURA_SECONDS, VAL0_COM_0_RADI_FEET, VAL0_COM_0_VAL0, VAL0_COM_0_VAL0_ACTIONPOINTS, VAL0_COM_0_VAL0_COM_0_DURA_SECONDS, VAL0_COM_0_VAL0_COM_0_RADI_FEET, VAL0_COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE, VAL0_COM_0_VAL0_CORPOREALDAMAGE, VAL0_COM_0_VAL0_DAMAGE, VAL0_COM_0_VAL0_HEALTH, VAL0_COM_0_VAL0_SPIRITDAMAGE, VAL0_COM_0_VAL0_TOD, VAL0_COM_0_VAL0_TOD_ACTIONPOINTS, VAL0_COM_0_VAL0_TOD_CORPOREALDAMAGE, VAL0_COM_0_VAL0_TOD_DAMAGE, VAL0_COM_0_VAL0_TOD_ELEMENTALDAMAGE, VAL0_COM_0_VAL0_TOD_HEALTH, VAL0_COM_0_VAL0_TOD_SPIRITDAMAGE, VAL0_COM_0_VAL1, VAL0_COM_0_VAL1_DAMAGE, VAL0_COM_1_DURA_SECONDS, VAL0_COM_1_RADI_FEET, VAL0_COM_1_VAL0, VAL0_COM_1_VAL0_ACTIONPOINTS, VAL0_COM_1_VAL0_DAMAGE, VAL0_COM_1_VAL0_ELEMENTALDAMAGE, VAL0_COM_1_VAL0_SPIRITDAMAGE, VAL0_COM_1_VAL0_TOD, VAL0_COM_1_VAL0_TOD_DAMAGE, VAL0_COM_1_VAL0_TOD_HEALTH, VAL0_COM_1_VAL1, VAL0_COM_2_VAL0, VAL0_COM_2_VAL0_ACTIONPOINTS, VAL0_COM_2_VAL0_COM_0_VAL0, VAL0_COM_2_VAL0_COM_0_VAL0_COM_0_VAL0, VAL0_COM_2_VAL0_COM_1_VAL0_COM_0_VAL0, VAL0_COM_2_VAL0_COM_2_VAL0_COM_0_VAL0, VAL0_COM_2_VAL0_DAMAGE, VAL0_COM_2_VAL0_HEALTH, VAL0_COM_3_RADI_FEET, VAL0_COM_3_VAL0, VAL0_COM_3_VAL0_DAMAGE, VAL0_COM_4_RADI_FEET, VAL0_COM_4_VAL0, VAL0_COM_4_VAL0_DAMAGE, VAL0_COM_7_VAL1, VAL0_CORPOREALDAMAGE, VAL0_DAMAGE, VAL0_ELEMENTALDAMAGE, VAL0_SECONDS, VAL0_SPIRITDAMAGE, VAL0_TOD, VAL0_TOD_ACTIONPOINTS, VAL0_TOD_DAMAGE, VAL0_TOD_ELEMENTALDAMAGE, VAL0_TOD_HEALTH, VAL0_TOD_SPIRITDAMAGE","read the selected component's Value[0] field and insert the raw numeric result into client text. read the selected component's Value[0] field and render it as action points over time in this text context. read the selected component's Value[0] field and render it as an over-time amount in this text context. read the selected component's Value[0] field and render it as corporeal damage in this text context. read the selected component's Value[0] field and render it as damage in this text context. read the selected component's Value[0] field and render it as damage over time in this text context. read the selected component's Value[0] field and render it as elemental damage in this text context. read the selected component's Value[0] field and render it as elemental damage over time in this text context. read the selected component's Value[0] field and render it as health over time in this text context. read the selected component's Value[0] field and render it as seconds in this text context. read the selected component's Value[0] field and render it as spirit damage in this text context. read the selected component's Value[0] field and render it as spirit damage over time in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_DURA_MINUTES` (read component slot 0, then read the selected component's Duration field and format it as minutes) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_DURA_SECONDS` (read component slot 0, then read the selected component's Duration field and format it as seconds) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_RADI_FEET` (read component slot 0, then read the selected component's Radius field and format it as feet) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_ACTIONPOINTS` (read component slot 0, then read the selected component's Value[0] field and render it as action points in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_DURA_SECONDS` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_DURA_SECONDS` (read component slot 0, then read the selected component's Duration field and format it as seconds) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_RADI_FEET` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_RADI_FEET` (read component slot 0, then read the selected component's Radius field and format it as feet) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_VAL0_TOD_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as damage over time in this text context) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_CORPOREALDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as corporeal damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_HEALTH` (read component slot 0, then read the selected component's Value[0] field and render it as health in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_SPIRITDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as spirit damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_ACTIONPOINTS` (read component slot 0, then read the selected component's Value[0] field and render it as action points over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_CORPOREALDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as corporeal damage over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_DAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as damage over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_ELEMENTALDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as elemental damage over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_HEALTH` (read component slot 0, then read the selected component's Value[0] field and render it as health over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD_SPIRITDAMAGE` (read component slot 0, then read the selected component's Value[0] field and render it as spirit damage over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_TOD` (read component slot 0, then read the selected component's Value[0] field and render it as an over-time amount in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL1_DAMAGE` (read component slot 0, then read the selected component's Value[1] field and render it as damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL1` (read component slot 0, then read the selected component's Value[1] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_DURA_SECONDS` (read component slot 1, then read the selected component's Duration field and format it as seconds) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_RADI_FEET` (read component slot 1, then read the selected component's Radius field and format it as feet) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_ACTIONPOINTS` (read component slot 1, then read the selected component's Value[0] field and render it as action points in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_DAMAGE` (read component slot 1, then read the selected component's Value[0] field and render it as damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_ELEMENTALDAMAGE` (read component slot 1, then read the selected component's Value[0] field and render it as elemental damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_SPIRITDAMAGE` (read component slot 1, then read the selected component's Value[0] field and render it as spirit damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_TOD_DAMAGE` (read component slot 1, then read the selected component's Value[0] field and render it as damage over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_TOD_HEALTH` (read component slot 1, then read the selected component's Value[0] field and render it as health over time in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_TOD` (read component slot 1, then read the selected component's Value[0] field and render it as an over-time amount in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0` (read component slot 1, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL1` (read component slot 1, then read the selected component's Value[1] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_ACTIONPOINTS` (read component slot 2, then read the selected component's Value[0] field and render it as action points in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_COM_0_VAL0_COM_0_VAL0` (read component slot 2, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0_COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_COM_0_VAL0` (read component slot 2, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_COM_1_VAL0_COM_0_VAL0` (read component slot 2, then read the selected component's Value[0] field and render it as the same presentation as `COM_1_VAL0_COM_0_VAL0` (read component slot 1, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_COM_2_VAL0_COM_0_VAL0` (read component slot 2, then read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_COM_0_VAL0` (read component slot 2, then read the selected component's Value[0] field and render it as the same presentation as `COM_0_VAL0` (read component slot 0, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context) in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_DAMAGE` (read component slot 2, then read the selected component's Value[0] field and render it as damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0_HEALTH` (read component slot 2, then read the selected component's Value[0] field and render it as health in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_2_VAL0` (read component slot 2, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_3_RADI_FEET` (read component slot 3, then read the selected component's Radius field and format it as feet) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_3_VAL0_DAMAGE` (read component slot 3, then read the selected component's Value[0] field and render it as damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_3_VAL0` (read component slot 3, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_4_RADI_FEET` (read component slot 4, then read the selected component's Radius field and format it as feet) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_4_VAL0_DAMAGE` (read component slot 4, then read the selected component's Value[0] field and render it as damage in this text context) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_4_VAL0` (read component slot 4, then read the selected component's Value[0] field and insert the raw numeric result into client text) in this text context. read the selected component's Value[0] field and render it as the same presentation as `COM_7_VAL1` (read component slot 7, then read the selected component's Value[1] field and insert the raw numeric result into client text) in this text context.",Confirmed,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockdown, Silence, Snare, Stagger, Stun","2071 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. Client-token evidence comes from extracted ability text. Londo rows are last-resort toolkit references and should be treated cautiously."
23,APPLY_ABILITY,Value[1],11,2,"1, 99","VAL1, VAL1_DAMAGE",read the selected component's Value[1] field and insert the raw numeric result into client text. read the selected component's Value[1] field and render it as damage in this text context.,Confirmed,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,Damage,"11 non-zero observation(s) across 2075 component row(s); example component ids: 11634, 11648, 11665, 11895, 11912, 12039, 14411, 18075, 9188, 9231, 9330. Layouts: u32-values. Client-token evidence comes from extracted ability text. Londo rows are last-resort toolkit references and should be treated cautiously."
23,APPLY_ABILITY,Value[3],4,1,7,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,High,142,priority operation; 2331 referencing abilities; generic value slot.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","4 non-zero observation(s) across 2075 component row(s); example component ids: 11197, 3123, 3210, 3347. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Value[7],1,1,75,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,High,142,priority operation; 2331 referencing abilities; generic value slot.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun",1 non-zero observation(s) across 2075 component row(s); example component ids: 8198. Layouts: u32-values. No client-token evidence or manual override exists yet for this field.
23,APPLY_ABILITY,Multiplier[0],2074,1,100,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,112,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[1],2074,1,100,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,112,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[2],2074,2,"100, 68",(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,114,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[3],2074,2,"100, 150",(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,114,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[4],2074,1,100,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,112,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[5],2074,1,100,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,112,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[6],2074,1,100,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,112,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,Multiplier[7],2074,1,100,(none),No extracted-client semantic mapping is known yet for this field.,Unknown,Medium,112,priority operation; 2331 referencing abilities; 2074 non-zero rows; multiplier-array noise.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","2074 non-zero observation(s) across 2075 component row(s); example component ids: 10179, 10180, 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260. Layouts: u32-values. No client-token evidence or manual override exists yet for this field."
23,APPLY_ABILITY,ExtData[0].Val1,1124,2,"1, 2",(none),APPLY_ABILITY ext-data branch selector for the slot-local embedded payload.,Structural,Critical,205,priority operation; 2331 referencing abilities; 1124 non-zero rows; ext-data slot; structural role inferred.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","1124 non-zero observation(s) across 2075 component row(s); example component ids: 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260, 10261, 10262. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This is a structural inference from recurring APPLY_ABILITY ext-data layouts in extracted client BIN rows for ExtData slot 0. This low-cardinality field splits the dominant APPLY_ABILITY payload branches, but the exact retail meaning of each raw value is still unresolved. Dominant raw values: 2 x716, 1 x408. Exact per-value retail semantics are still unresolved; use the value-profile evidence to inspect raw-value clusters."
23,APPLY_ABILITY,ExtData[0].Val2,1105,29,"1, 10, 11, 14, 15, 16, 17, 19, 2, 20, 23, 25",(none),ExtData slot 0 Val2 — ComponentOperation type code for this ext-data expression slot.,Inferred,Resolved,0,This field already has extracted-client semantic coverage and does not need unknown-first triage.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","1105 non-zero observation(s) across 2075 component row(s); example component ids: 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260, 10261, 10262. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. Across all component operations in the extracted client BIN, ExtData Val2 consistently encodes a ComponentOperation-family type code identifying what kind of effect the slot describes (DAMAGE, STAT_CHANGE, HEAL, AP_CHANGE, etc.). 1023 of 1105 observed values (92%) resolve to a named ComponentOperation. Dominant observed values: 2=STAT_CHANGE x462, 9=INTERRUPT x119, 1=DAMAGE x102, 3=HEAL x90, 6=AP_CHANGE x86, 17=AP_REGEN_CHANGE x59, 10=RESSURRECT x30, 27 x29. Values not yet present in the ComponentOperation enum represent undocumented operation type codes observed in client data."
23,APPLY_ABILITY,ExtData[0].Val3,1124,6,"1, 3, 4, 5, 6, 7",(none),APPLY_ABILITY ext-data profile selector for the slot-local embedded payload.,Structural,Critical,213,priority operation; 2331 referencing abilities; 1124 non-zero rows; ext-data slot; structural role inferred.,"Damage, Disarm, Heal, Immunity, Knockback, Knockdown, Root, Silence, Snare, Stagger, Stun","1124 non-zero observation(s) across 2075 component row(s); example component ids: 10181, 10182, 10254, 10255, 10256, 10257, 10258, 10259, 1026, 10260, 10261, 10262. Layouts: u32-values. No client-token evidence or manual override exists yet for this field. This is a structural inference from recurring APPLY_ABILITY ext-data layouts in extracted client BIN rows for ExtData slot 0. This compact enum-like field is the clearest profile or behavior selector inside the APPLY_ABILITY ext-data block. Dominant raw values: 1 x812, 4 x172, 6 x99, 5 x36, 7 x4, 3 x1. Exact per-value retail semantics are still unresolved; use the value-profile evidence to inspect raw-value clusters."
